index,Name,Type (Food Specialty),Location (Province),Locaton (Add-ons),Ratings (Stars),Operation time,Contacts (Tel.),Details (Comment/Desc)
1,Esan Izakaya,"อาหารอีสาน, บาร์",กรุงเทพมหานคร,58 พระราม 9 ซอย 49 แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250,5.00,11:00 - 22:00,0959385014,"ร้านอาหารอีสานสุดแซ่บ
เปิดใหม่สดๆร้อนๆ
รสชาติจัดจ้านสุดๆ เปรี้ยว เค็ม เผ็ด ถึงทุกรสไม่มีกั๊ก
ช่วงเช้าเครื่องดื่มสมุนไพรจะเติมได้ไม่อั้น
ก่อนออกจากร้านก็สามารถเติมให้เต็มแก้วแล้วถือกลับไปกินที่ออฟฟิศได้เลย

ช่วงดึกจะมีขายยาดองปั่น ราคาดีงามมากแค่แก้วละ 85 บาท
แก้วใหญ่เวอร์ จะแซ่บคนเดียวหรือจะแซ่บกับเพื่อนก็ได้ มีเมาหัวทิ่มแน่นอน
นอกจากนั้นจะมีขายเบียร์สด
และเครื่องดื่มต่างๆด้วย

การเดินทาง
เข้ามาที่ถนนพระรามเก้า ซอย 49
ร้านอยู่ปากซอย 7 เปิดไฟสว่างมาก
จอดรถได้ริมถนนตลอดทางหน้าร้านเลย
บรรยากาศตกแต่งร้านเก๋ มีจุดถ่ายรูปหลายจุด
ตกแต่งด้วยสังกะสีแบบย้อนยุค
และมีป้ายไฟนีออนดัด แตกต่างกันแต่ดูเข้ากันดีมากๆ

ใครชอบอาหารอีสานรสจัดต้องแนะนำเลยครับ
แต่ถ้าใครไม่กินเผ็ดต้องแจ้งที่ร้านนะครับเพราะอาหารร้านนี้รสจัดและเผ็ดมาก"
2,ลาบ ลับ ลับ,"อาหารอีสาน, ญี่ปุ่น, ซีฟู๊ด",กรุงเทพมหานคร,"Pridi Banomyong 43 Alley, แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",4.00,17:00 - 23:00,0912060005,"ร้านลาบไทยอีสานสไตล์ฟิวชั่นความอร่อยกับอาหารญี่ปุ่น ผลลัพธ์คือความถูกปาก ถูกใจคนไทยหัวใจญี่ปุ่น ในราคาที่ย่อมเยากว่าร้านบนห้างเกือบครึ่ง เหมาะสำหรับกินดื่มสไตล์อิซากายะ แต่ได้ความแซบเพิ่มเติมเข้ามาอีก และแน่นอนเครื่องดื่มทั้งค่ายไทยหรือค่ายญี่ปุ่นมีให้เลือกครบครัน

ความดังของร้านนี้ขนาดจนเซเลบและนักรีวิวต่างแวะเวียนมาถ่ายทำและเขียนถึง ร้านค่อนข้างแน่นอยู่ในเต๊นท์ขายอาหารแนะนำให้มารถสาธารณะ airportlink รามคำแหง แล้วต่อtaxi หรือมอเตอร์ไซค์ เพราะที่จอดรถหายากมาก

จานเด็ดติดดาวที่ต้องมาโดนกันให้ได้

เนื้อเผาถ่าน เนื้อสันนุ่มๆย่างแบบมีเดียมแรร์ หอมกลิ่นย่างถ่านแต่ไม่แห้ง สัมผัสความฉ่ำของเนื้อยังรักษาได้ดี จิ้มทานกับซอสพอนซึ หอมแดงซอยและกระเทียมสด
เสือร้องไห้ ใช้เนื้อวัวไทยจากฟาร์มโคขุนในลพบุรี ย่างประมาณมีเดียมมาแบบเนื้อติดมัน สัมผัสยังชุ่มฉ่ำ มีความหนึบปานกลาง ความนุ่มยกให้เนื้อเผา แต่ส่วนตัวเสือฯที่นี่ก็เด็ดไม่แพ้กัน

ชุดซาชิมิปลาไทย คุณภาพปลาดีมาก สด หวาน เนื้อไม่ยุ่ย มีเอ็นหอยจอบ(เนื้อยังกับหอยเชลโฮตาเตะ) ปลาเก๋า ปลากุดสลาด ปลาหมูสีแก้มแดง ปลากระพงแดง ปลาทูน่าเยลโล่ฟิน ทั้งหมดนี้มาในราคา 300฿ (ชุดเล็ก) ทานคู่กับน้ำจิ้มซีฟู้ด หรือจะวาซาบิน้ำซอสโชยุ คออาหารญี่ปุ่นอยากให้ลอง

ปลาเงินทอด จานนี้เป็นสตาร์ทเตอร์ที่ต้องสั่ง ทอดกรอบสนั่นแบบไม่อมน้ำมัน ทานคู่กับซอสพริกศรีราชา ได้รสชาติความมันความหนึบคล้ายๆปลาไข่แต่กรอบลั่นปาก จานนี้คู่กับเครื่องดื่มเย็นๆนี่ดีมาก

ส่วนตัวติดใจมาก อร่อยต้องกลับมาซ้ำเพราะยังมีอีกหลายเมนูที่อยากจะมากินอีก"
3,Phed Phed Bistro (เผ็ดเผ็ด บิสโทร),อาหารอีสาน,กรุงเทพมหานคร,แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170,4.30,10:30 - 21:30,0650929690,"ร้านจะอยู่ซอยเดียวกับโอ้กระจู๋นะคะ เยื้องๆกันเลย เผื่อใครหาร้านไม่เจอ ตกแต่งเก๋ๆ แบบไม่ค่อยทันสังเกตว่าคือเผ็ดเผ็ด
ช่วงเย็น ควรจองก่อนล่วงหน้า แต่ไม่ได้จอง ก็ลงคิวไว้ เมื่อถึงคิว ที่ร้านจะโทรมาแจ้งค่า สะดวกดีค่ะ
อาหารตามสูตรร้านคือเผ็ดมากๆ ยังดีที่พนักงานแจ้งค่ะ อย่างส้มตำ ถ้าเผ็ดปกติคือ 30 เม็ด เผ็ดน้อยจะได้ 15 เม็ด !!!! ดังนั้นจะรับพริกกี่เม็ดอย่าลืมแจ้งทางร้านนะคะ
เมนูส้มตำ เราสั่งพริกไป 2-3 เม็ด เลยรสหนักไปทางหวานหน่อยค่ะ ไม่เผ็ดค่ะ แต่เครื่องแน่นอยู่นะคะ อย่างส้มตำคอหมูย่าง ก็ได้คอหมูย่างเยอะ แบบตักไปก็เจอทุกช้อน ตำหลวงพระบางโรยด้วยแคบหมู ปลาร้านัวดี
ต้มแซ่บขอแยกพริกมา รสชาติเลยออกไปทางต้มบ๊วยหมูสับค่ะ จัดการโรยพริกแห้งเอง และพริกป่นตามต้องการได้
อาหารรอค่อนข้างนาน แม้ว่าเป็นเมนูส้มตำซึ่งนึกว่าน่าจะได้ก่อนเมนูที่ต้องเปิดเตาค่ะ
ร้านตกแต่งเก๋ๆ แต่ด้วยพื้นที่ไม่กว้าง และของเยอะ เลยดูแน่นๆ อึดอัดๆหน่อยค่ะ
ตอนเช็คบิลก็จะมี qr code ที่หัวบิลให้แสกนจ่ายได้เลย สะดวกสบาย และที่ร้านไม่ได้คิดค่าบริการเพิ่มค่ะ ราคาค่อนข้างสูงค่ะ"
4,เผ็ด เผ็ด คาเฟ่ (phed phed cafe),อาหารอีสาน,กรุงเทพมหานคร,9 ซอย ประดิพัทธิ์ 20 แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,4.20,10:30 - 21:30,0982635715,ร้านลึกลับมาก ถ้ามาเอง อย่าคิดว่าจะเจอ อยู่ในซอยประดิพัทธ์20 ค่ะ อย่าเรียกว่าซอยเลย แบบนี้กบเรียกตรอกมากกว่า เข้าไปนิดเดียวจะเห็นร้านอยู่ซ้ายมือค่ะ สังเกตไม่ยาก ไม่ได้เห็นป้ายนะ เห็นพี่ๆ ไรเดอร์นั่งรอค่ะ กรณีจอดรถให้ขับเลยเข้าไปอีกจะมีโรงแรม คิดค่าจอดรถค่ะ แต่ปลอดภัยดี ร้านมีไม่กี่โต๊ะนะคะ น่าจะ 7-8 โต๊ะเล็ก รับลูกค้าได้เป็นรอบ บันไดขั้นเป็นบันไดวน สีเดียวกันหมด คนแก่ลงลำบากค่ะ (แม่บอกมองไม่เห็นขั้นบันได) อาหารอร่อยทุกอย่างจริงค่ะ หมูบดต้มปรี๊ด อารมณ์ประมาณหมูสับต้มบ๊วย+ต้มยำไก่หุบบอน เปรี้ยวปรี๊ด เผ็ดจ๊าด หอมผักชีฝรั่ง รากผักชีค่ะ ตำเผ็ดเผ็ด นี่คือรวมทุกอย่างในร้านโยนใส่ครก เห็ดหูหนูขาว เห็ดหูหนูดำ หมูยอ ปูเค็ม ขนมจีน กากหมู มะละกอ ฯลฯ มากันเป็นทีม อร่อยจัดจ้านค่ะ คอหมูย่าง + แหนมปีกไก่ทอด 2 จานนี้ทำได้เหมือนสูตรที่กบเขียนเลยค่ะ อร่อยมาก แหนมเปรี้ยวอ่อนๆ คอหมูย่างใช้สันคอหมักจนนุ่ม น้ำจิ้ม 4 อย่าง เลือกตามใจค่ะ หมี่ลวก จะปรุงน้ำมันเจียว แม็กกี้เล็กๆ หอมเลยค่ะ ข้าวเหนียวดำอร่อยนะคะ ข้าวผัดเบคอนแห้งได้ใจ มีกระเทียมเจียว กากหมูเน้นๆ อร่อยมากค่ะ ที่เด็ดสุดคือ น้ำลำใย เนื้อลำใยค่อนแก้วอลังการมากค่ะ คำเตือน อย่าวู่วาม จานค่อนข้างใหญ่นะคะ จานละ 200 รับรองว่าคุ้มเกินราคาค่ะ แนะนำให้ไปก่อนเปิดร้าน 10:30น. ไม่งั้นต้องรอเป็นชั่วโมงค่ะ
5,Kruwn (ครวญ),อาหารอีสาน,กรุงเทพมหานคร,ถนน นราธิวาสราชนครินทร์ แขวงสีลม เขตบางรัก กรุงเทพมหานคร 10500,4.10,10:00 - 18:00,0959434509,"ร้านนี้เป็นร้านอาหารจานด่วนตั้งอยู่ในตึกมหานครซึ่งอยู่ในชั้น thai taste ชั้นที่เป็นแหล่งรวมร้านดังๆปังๆไว้ในที่เดียวค่ะ ร้านนี้เป็นร้านในเครือเดียวกับ phed phed แต่เมนูที่เสิร์ฟของร้านนี้จะเน้นไปในทางอาหารจานเดียวที่เป็นข้าวคอหมูย่างหรือข้าวกับเนื้อต่างๆทานกับน้ำพริก แจ่ว ทำออกมาได้หน้าตาน่าทานมาก

พิกัดและบรรยากาศร้านนี้
ตั้งอยู่ที่ Thai Taste Hub Mahanakhon CUBE ค่ะ ในโซนนี้จะมีด้วยกันหลายร้านอาหารเลยค่ะ บรรยากาศเหมือนศูนย์อาหารสามารถจ่ายเงินได้ด้วยวิธีการสแกนคิวอาร์โค้ดหน้าร้านหรือสามารถซื้อบัตรเหมือนศูนย์อาหารที่บริเวณเคาน์เตอร์ของที่นี่ได้ค่ะ ที่นั่งก็จะเป็นแบบมีโต๊ะให้เลือกนั่งได้เยอะหลายมุมแต่บรรยากาศก็จะเป็นเหมือนศูนย์อาหารเลย

••เมนูที่เราสั่งวันนี้คือ••
เมนูข้าวเหนียวคอหมูย่างเสิร์ฟกับผักสด&น้ำจิ้มปลาร้าบองและแจ่วค่ะ
ปลาร้าคือดีงามมากๆๆ หอมอร่อยทานกับผักสดที่ใส่มาด้านข้างอย่างฟินเลยค่ะ🥹 เอาข้าวเหนียวมาจิ้มๆปลาร้ากินกับผักก็ดีแล้วอ่า
ส่วนคอหมูย่างที่นี่ก็ไม่มันยังได้หอมดีมากนุ่มเลยย แต่แจ่วที่จิ้มกับข้อหมูย่างเราว่ารสชาติเฉยเฉยพอเจอปลาร้าบองแล้วชิดซ้ายไปเลย
ทีเด็ดของจานนี้ไม่หมดแค่นั้นด้านข้างมี side dishเป็นกากหมูปรุงรสมีความเค็มๆอุมามิๆ อิอิ ก็ใช้ข้าวเหนียวมาทานคู่กันได้ มันดีย์ต่อใจ

จานนี้เราทานกับแฟนเพราะว่าสั่งมาหลายจานแล้วทานด้วยกันแฟนก็ชอบเลยค่ะ ถูกใจสายคนชอบทานเนื้อสัตว์ดีนัก แต่ขนาดเราเน้นทานผัก จานนี้ยังชอบเลยยย ปลาร้านัวมากๆค่ะ"
6,ป้าแดงลาบอุบล 5 บางแสน,อาหารอีสาน,ชลบุรี,บางแสน สาย 2 ซอย 11 ตำบลแสนสุข อำเภอเมืองชลบุรี ชลบุรี 20130,4.00,11:00 - 22:00,0863346209,ร้านป้าแดง ลาบอุบล สาขาบางแสน วันนี้เลิกงานมา อยากกินอะไรแซ่บๆ ร้านแรกที่นึกถึก็ ต้องเป็นป้าแดง ลาบอุบล วันนี้ มาสาขาบางแสน ร้านใหญ่โต หว้างขวาง ทางร้าน มีหลายโซนให้เลือกนั่ง ทั้งในซุ้ม หรือ กลางแจ้ง พนักงาน บริการดี อาหารได้ไว รสชาติอร่อย ตามแบบ ฉบับ ของร้านป้าแดงอยุ่แล้ว ราคาไม่แพง
7,ส้มตำจารุณีหัวกุญแจ (ส้มตำจารุณี),"อาหารอีสาน, สตรีทฟู๊ด, ซีฟู๊ด",ชลบุรี,ตำบล คลองกิ่ว อำเภอบ้านบึง ชลบุรี 20220,4.00,09:00 - 17:00,0617829969,"ขับรถหาร้านอร่อยไปเรื่อย เจอที่นี่เป็นร้านแนะนำที่เค้ารีวิวกัน สายกินก็ตามสิจ๊ะ
ขับไปเจอหน้าร้าน
เป็นตึกแถว ธรรมด๊าา..ธรรมดา
ขับผ่านโลดจ้า ว่าจะไม่แวะ รู้สึกแบบมันไม่น่าจะพิเศษ เด็ดดวงอะไร

เปิดวงในหาร้านต่อไป อ้าวววเห้ยยยย...‼️
ร้านเจ๊แกมีแนะนำในวงในเฉยเลยวุ๊ยย
ไม่ทามดาๆ แถมสโลแกนยั่วๆ ไม่สดไม่อร่อยยินดีคืนเงิน เอาก็เอาวะ ลองแวะดูไม่เสียหาย
เลี้ยวรถกลับ สั่งไปแค่ 3 อย่าง แบบลองเสี่ยงๆดู

อาหารมาเสิร์ฟ เซอร์ไพรส์ที่ 1 มาละ เห้ย ราคาดี และขนาดจานมหึมามากกกก...
เอากะเจ๊แกสิ

ชิมค่ะชิม
เซอร์ไพรส์ที่ 2 ก็มาว่ะ มันดีม๊ากกกก อร่อยจริงจัง วัตถุดิบคือดีย์
เจอน้ำมะนาวแท้ เจ๊แก หั่นมะนาวใส่มาแบบแทบไม่บีบลูกใหญ่ๆไม่หวงจานละ 3 ลูกได้

ในส่วนของปูม้า ปูดี หวานเจี๊ยบ ให้ปูเยอะดี

มาที่หมูยอจ้าาเจ๊แกบอกว่าไปดูหลายร้านมากๆเลือกร้านที่อร่อยที่สุดมาแล้ว

และอีกอย่างที่เด็ดเลย ปลาร้า ดูสีผู้ดี๊ผู้ดี แบบมองแล้วไม่คาดหวังดีกว่า แต่รสชาติโครตนัวส์แบบกินไปว๊าวกันไปทุกจานที่ชิม

สรุปให้เลย รสชาติก็แล้วแต่คนชอบ แต่สำหรับเรามันดีมากๆ คือเป็นคนกินรสจัดมาก แต่ไปกินกับพี่ที่กินเผ็ดไม่ค่อยได้ เลยสั่งใส่พริกแค่จานละ 2 เม็ด ไอ่เราก็คิดในใจ อร่อยรึป่าวก็ไม่รู้ถ้าสั่งไม่เผ็ดอีกมันจะแซ่บมั๊ยว๊าา พอชิมไป มันอร่อยมากๆเว้ยย รู้เลยว่าถ้าอร่อยจริง ไม่เผ็ดมันก็แซ่บได้....

ไม่ได้รีวิวเวอร์ แต่อยากให้เจ๊อยู่ตรงนี้นานๆ นะๆ อย่าไปไหนอีกนะเธอ ...

พิกัด ร้านอยู่ตรงข้ามประตูทางเข้าวัดหัวกุญแจเลย เปิด Map ไปโลดจ้าา"
8,ตาแซบ อาหารอีสาน เขาใหญ่,อาหารอีสาน,นครราชสีมา,61 ตำบล หมูสี อำเภอปากช่อง นครราชสีมา 30130,4.80,09:00 - 17:00,0918830359,"ร้านอาหารอีสานในเขาใหญ่ สะอาด อร่อยทุกจานที่สั่งวันนี้ ไข่ตุ๋นหม้อไฟให้มาแบบจุกๆ และลาบวุ้นเส้นชอบมากๆ เพราะปกติจะเจอวุ้นเส้นลวกมาจับเป็นก้อน แต่ที่นี่ใช้วุ้นเส้นดี แม่ครัวก็ทำได้ดี รสชาติก็กลมกล่อม ใครมาเข้าใหญ่อยากหาอาหารทานง่ายๆ รสชาติดีแนะนำที่นี่เลยค่ะ

เรามาวันอังคารคนก็จะโล่งๆ สบายๆ แต่ถ้าวันหยุดคนแน่นนะคะ"
9,ร้านแอบแซ่บ (Abb Sabb),อาหารอีสาน,กาญจนบุรี,302/3 ไปรษณีย์ ตำบล ปากแพรก อำเภอเมืองกาญจนบุรี กาญจนบุรี 71000,3.90,09:00 - 19:30,0824661114,"บรรยากาศในร้านเป็นห้องแอร์เย็นสบายโต๊ะไม่ติดกันมากเกินไป

ส้มตำรสชาติดี น้ำปลาร้าหอมอร่อย ตำได้กำลังดีครับ
ไก่ทุบ ตัวเนื้อไก่ที่ย่างมามีความแข็งไปนิดนึง
ต้มยำรสชาติทานได้ครับ ไม่เด่นเท่าไหร่
ผัดกะเพราราดข้าว แห้งตามที่สั่ง รสชาติโอเคครับ

การบริการดีครับ รวดเร็วทั้งอาหารและของหวาน"
10,ครัวเมืองเว้ ลาว ญวน,"อาหารอีสาน, เวียดนาม",กรุงเทพมหานคร,85 ถนน ประเสริฐมนูกิจ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,4.20,10:30 - 21:30,0888151234,"ครัวเมืองเว้ ลาว-ญวน ร้านดัง อาหารเวียตนามและอีสานที่ส้มตำอร่อยมากจริงๆ ร้านเค้ามีฟาร์มปลูกผักเอง ผักสดล้างมาให้สะอาดสุดๆ เพราะล้างด้วยโอโซน เติมไม่อั้น ร้านเปิดมา 20 ปีแล้ว มาตอนเที่ยง คนเยอะแต่รอไม่นาน

พิซซ่าเวียตนาม 250฿ อร่อยมากสั่งทุกโต๊ะ
แหนมเนือง 235฿ ส่วนตัวเฉยๆ
ปอเปี๊ยะทอด 160฿ ไส้หมูเยอะดี
ก๊วยจ๊บหมูยอใส่ไข่ 115฿ น้ำซุปอร่อยมาก ซุปที่นี่ใสๆ ไม่ข้นๆแป้งๆเหมือนที่อื่นชอบมาก
ที่เด็ดสุดคือส้มตำ ตำซั่วปูปลาร้าใส่แคปหมู 90฿ นัวมาก
ยำหมูยอ 140฿ เผ็ด
ชาพีช 65฿"
